,RUN ID,DATASET TYPE,MODEL TYPE,MODEL NAME,CORRELATION SCORE
0,run_test,answer-answer,SentenceTransformerModel,bert-base-nli-mean-tokens,0.60547
1,run_test,headlines,SentenceTransformerModel,bert-base-nli-mean-tokens,0.74303
2,run_test,plagiarism,SentenceTransformerModel,bert-base-nli-mean-tokens,0.79479
3,run_test,postediting,SentenceTransformerModel,bert-base-nli-mean-tokens,0.7912
4,run_test,question-question,SentenceTransformerModel,bert-base-nli-mean-tokens,0.57039
5,run_test,all,SentenceTransformerModel,bert-base-nli-mean-tokens,0.70572
6,run_test,answer-answer,SentenceTransformerModel,msmarco-distilbert-base-tas-b,0.6686
7,run_test,headlines,SentenceTransformerModel,msmarco-distilbert-base-tas-b,0.77569
8,run_test,plagiarism,SentenceTransformerModel,msmarco-distilbert-base-tas-b,0.84638
9,run_test,postediting,SentenceTransformerModel,msmarco-distilbert-base-tas-b,0.83884
10,run_test,question-question,SentenceTransformerModel,msmarco-distilbert-base-tas-b,0.78147
11,run_test,all,SentenceTransformerModel,msmarco-distilbert-base-tas-b,0.77658
12,run_test,answer-answer,SentenceTransformerModel,multi-qa-mpnet-base-dot-v1,0.75227
13,run_test,headlines,SentenceTransformerModel,multi-qa-mpnet-base-dot-v1,0.82357
14,run_test,plagiarism,SentenceTransformerModel,multi-qa-mpnet-base-dot-v1,0.8484
15,run_test,postediting,SentenceTransformerModel,multi-qa-mpnet-base-dot-v1,0.85785
16,run_test,question-question,SentenceTransformerModel,multi-qa-mpnet-base-dot-v1,0.81774
17,run_test,all,SentenceTransformerModel,multi-qa-mpnet-base-dot-v1,0.81808
18,run_test,answer-answer,SentenceTransformerModel,sentence-t5-base,0.83055
19,run_test,headlines,SentenceTransformerModel,sentence-t5-base,0.82593
20,run_test,plagiarism,SentenceTransformerModel,sentence-t5-base,0.85681
21,run_test,postediting,SentenceTransformerModel,sentence-t5-base,0.88792
22,run_test,question-question,SentenceTransformerModel,sentence-t5-base,0.80949
23,run_test,all,SentenceTransformerModel,sentence-t5-base,0.81936
24,run_test,answer-answer,Word2VecModel,fasttext-wiki-news-subwords-300,0.1014
25,run_test,headlines,Word2VecModel,fasttext-wiki-news-subwords-300,0.55359
26,run_test,plagiarism,Word2VecModel,fasttext-wiki-news-subwords-300,0.32785
27,run_test,postediting,Word2VecModel,fasttext-wiki-news-subwords-300,0.54319
28,run_test,question-question,Word2VecModel,fasttext-wiki-news-subwords-300,0.07291
29,run_test,all,Word2VecModel,fasttext-wiki-news-subwords-300,0.31473
30,run_test,answer-answer,Word2VecModel,glove-wiki-gigaword-300,0.3264
31,run_test,headlines,Word2VecModel,glove-wiki-gigaword-300,0.59521
32,run_test,plagiarism,Word2VecModel,glove-wiki-gigaword-300,0.50204
33,run_test,postediting,Word2VecModel,glove-wiki-gigaword-300,0.52601
34,run_test,question-question,Word2VecModel,glove-wiki-gigaword-300,0.47253
35,run_test,all,Word2VecModel,glove-wiki-gigaword-300,0.38477
36,run_test,answer-answer,Word2VecModel,word2vec-google-news-300,0.38936
37,run_test,headlines,Word2VecModel,word2vec-google-news-300,0.64385
38,run_test,plagiarism,Word2VecModel,word2vec-google-news-300,0.75267
39,run_test,postediting,Word2VecModel,word2vec-google-news-300,0.7312
40,run_test,question-question,Word2VecModel,word2vec-google-news-300,0.6364
41,run_test,all,Word2VecModel,word2vec-google-news-300,0.56811
